Temperatura,Humedad,Clima
22,66,Frio
22,66,Frio
22,66,Frio
22,66,Frio
22,66,Frio
22,66,Frio
22,66,Frio
22,66,Frio
22,66,Frio
22,66,Frio
22,66,Frio
22,66,Frio
22,66,Frio
22,66,Frio
22,66,Frio
22,66,Frio
22,66,Frio
22,66,Frio
22,66,Frio
22,66,Frio
22,66,Frio
22,66,Frio
22,66,Frio
22,66,Frio
22,66,Frio
22,66,Frio
22,66,Frio
22,66,Frio
22,66,Frio
33,80,Templado
33,80,Templado
33,80,Templado
33,80,Templado
33,80,Templado
33,80,Templado
33,80,Templado
33,80,Templado
33,80,Templado
33,80,Templado
33,80,Templado
33,80,Templado
33,80,Templado
33,80,Templado
33,80,Templado
33,80,Templado
33,80,Templado
33,80,Templado
33,80,Templado
33,80,Templado
33,80,Templado
33,80,Templado
33,80,Templado
33,80,Templado
33,80,Templado
33,80,Templado
33,80,Templado
33,80,Templado
41,45,Soleado
41,45,Soleado
41,45,Soleado
41,45,Soleado
41,45,Soleado
41,45,Soleado
41,45,Soleado
41,45,Soleado
41,45,Soleado
41,45,Soleado
41,45,Soleado
41,45,Soleado
41,45,Soleado
41,45,Soleado
41,45,Soleado
41,45,Soleado
41,45,Soleado
41,45,Soleado
41,45,Soleado
41,45,Soleado
41,45,Soleado
41,45,Soleado
41,45,Soleado
41,45,Soleado
41,45,Soleado
41,45,Soleado
41,45,Soleado
41,45,Soleado
41,45,Soleado
41,45,Soleado
15,99,Lluvioso
15,99,Lluvioso
15,99,Lluvioso
15,99,Lluvioso
15,99,Lluvioso
15,99,Lluvioso
15,99,Lluvioso
15,99,Lluvioso
15,99,Lluvioso
15,99,Lluvioso
15,99,Lluvioso
15,99,Lluvioso
15,99,Lluvioso
15,99,Lluvioso
15,99,Lluvioso
15,99,Lluvioso
15,99,Lluvioso
15,99,Lluvioso
15,99,Lluvioso
15,99,Lluvioso
15,99,Lluvioso
15,99,Lluvioso
15,99,Lluvioso
15,99,Lluvioso
15,99,Lluvioso
15,99,Lluvioso
15,99,Lluvioso
15,99,Lluvioso
15,99,Lluvioso
15,99,Lluvioso
15,99,Lluvioso
15,99,Lluvioso
15,99,Lluvioso
15,99,Lluvioso
15,99,Lluvioso
15,99,Lluvioso
15,99,Lluvioso
15,99,Lluvioso
15,99,Lluvioso
15,99,Lluvioso
15,99,Lluvioso
15,99,Lluvioso
15,99,Lluvioso
15,99,Lluvioso
15,99,Lluvioso
15,99,Lluvioso





